"","sample","sampleID_Yong","Corrected_relative_methylated_level"
"40","MB127","MB127T1",0.397899497
"59","MB009","MB9T1",0.504101338
"63","MB095","MB95T1",0.517093746
"24","MB042","MB42T1",0.333911979
"54","MB086","MB86T1",0.45267279
"3","MB024","MB24T1",0.231809027
"32","MB115","MB115T3",0.366148468
"48","MB037","MB37T1",0.423506597
"46","MB032","MB32T1",0.412781875
"60","MB129","MB129T2",0.512551996
"66","MB098","MB98T1",0.528060247
"68","MB084","MB84T2",0.541750809
"87","MB082","MB82T3",0.682211188
"65","MB088","MB88T3",0.522823345
"8","MB031","MB31T1",0.262711553
"67","MB071","MB71T2",0.531659578
"72","MB125","MB125T1",0.563717539
"22","MB105","MB105T1",0.332990522
"21","MB021","MB21T1",0.331332338
"13","MB029","MB29T1",0.292157447
"1","MB149","MB149T1",0.223208971
"33","MB116","MB116T1",0.369862101
"37","MB030","MB30T3",0.379840308
"50","MB128","MB128T1",0.431628365
"34","MB157","MB157T1",0.369862101
"28","MB092","MB92T1",0.354447801
"42","MB102","MB102T1",0.398928985
"7","MB140","MB140T1",0.256562417
"15","MB107","MB107T1",0.303152547
"70","MB087","MB87T1",0.55216058
"17","MB156","MB156T1",0.31784178
"69","MB011","MB11T1",0.550321624
"75","MB151","MB151T1",0.574072185
"25","MB038","MB38T1",0.339759271
"20","MB017","MB17T1",0.327997101
"49","MB047","MB47T1",0.425617576
"35","MB020","MB20T1",0.371159214
"39","MB014","MB14T1",0.388464626
"62","MB111","MB111T2",0.515966994
"38","MB123","MB123T1",0.380513091
"26","MB148","MB148T3",0.343236847
"55","MB122","MB122T1",0.453404628
"5","MB089","MB89T3",0.244792281
"31","MB135","MB135T1",0.365269256
"36","MB023","MB23T1",0.37249064
"16","MB155","MB155T1",0.305079941
"83","MB093","MB93T1",0.639827235
"98","MB109","MB109T1",1.000204166
"9","MB035","MB35T2",0.27152106
"78","MB078","MB78T2",0.608291227
"43","MB104","MB104T1",0.401981006
"80","MB054","MB54T2",0.632638771
"94","MB106","MB106T1",0.834646642
"74","MB016","MB16T1",0.5726712
"23","MB146","MB146T1",0.333302458
"76","MB066","MB66T2",0.57810138
"81","MB065","MB65T2",0.635873995
"11","MB117","MB117T3",0.284362197
"97","MB004","MB4T1",0.930698941
"6","MB039","MB39T1",0.2468777
"88","MB055","MB55T1",0.685143342
"53","MB027","MB27T3",0.438999205
"77","MB132","MB132T1",0.585278129
"89","MB079","MB79T2",0.701135699
"41","MB159","MB159T2",0.397899497
"14","MB026","MB26T1",0.2924134
"71","MB120","MB120T1",0.558135071
"84","MB012","MB12T1",0.640252135
"18","MB161","MB161T1",0.322964161
"19","MB022","MB22T1",0.324197748
"85","MB074","MB74T1",0.644260303
"52","MB097","MB97T1",0.437518255
"96","MB053","MB53T1",0.906553659
"57","MB141","MB141T1",0.486370095
"27","MB133","MB133T1",0.346119194
"56","MB070","MB70T2",0.477557051
"4","MB145","MB145T1",0.241223217
"82","MB110","MB110T1",0.636725357
"95","MB085","MB85T1",0.873261317
"29","MB025","MB25T2",0.35910651
