sample	gene_count	class
normal01_ip_peaks_pc_gene_summary.txt	5174	1
normal02_ip_peaks_pc_gene_summary.txt	5547	1
normal03_ip_peaks_pc_gene_summary.txt	5545	1
normal04_ip_peaks_pc_gene_summary.txt	5212	1
normal05_ip_peaks_pc_gene_summary.txt	5722	1
normal06_ip_peaks_pc_gene_summary.txt	5562	1
normal07_ip_peaks_pc_gene_summary.txt	5427	1
normal08_ip_peaks_pc_gene_summary.txt	5728	1
normal09_ip_peaks_pc_gene_summary.txt	5575	1
normal10_ip_peaks_pc_gene_summary.txt	5580	1
tumor10_ip_peaks_pc_gene_summary.txt	4901	2
tumor11_ip_peaks_pc_gene_summary.txt	3800	2
tumor12_ip_peaks_pc_gene_summary.txt	4192	2
tumor13_ip_peaks_pc_gene_summary.txt	4004	2
tumor14_ip_peaks_pc_gene_summary.txt	4697	2
tumor15_ip_peaks_pc_gene_summary.txt	3663	2
tumor16_ip_peaks_pc_gene_summary.txt	3457	2
tumor17_ip_peaks_pc_gene_summary.txt	3908	2
tumor18_ip_peaks_pc_gene_summary.txt	3733	2
tumor19_ip_peaks_pc_gene_summary.txt	4557	2
tumor20_ip_peaks_pc_gene_summary.txt	3630	2
tumor21_ip_peaks_pc_gene_summary.txt	3833	2
tumor22_ip_peaks_pc_gene_summary.txt	2946	2
tumor23_ip_peaks_pc_gene_summary.txt	3322	2
tumor24_ip_peaks_pc_gene_summary.txt	3494	2
tumor25_ip_peaks_pc_gene_summary.txt	3718	2
tumor26_ip_peaks_pc_gene_summary.txt	4311	2
tumor27_ip_peaks_pc_gene_summary.txt	4338	2
tumor28_ip_peaks_pc_gene_summary.txt	4469	2
tumor29_ip_peaks_pc_gene_summary.txt	4608	2
tumor2_ip_peaks_pc_gene_summary.txt	4529	2
tumor30_ip_peaks_pc_gene_summary.txt	4779	2
tumor31_ip_peaks_pc_gene_summary.txt	4045	2
tumor32_ip_peaks_pc_gene_summary.txt	4456	2
tumor33_ip_peaks_pc_gene_summary.txt	5217	2
tumor34_ip_peaks_pc_gene_summary.txt	3857	2
tumor35_ip_peaks_pc_gene_summary.txt	4505	2
tumor36_ip_peaks_pc_gene_summary.txt	3397	2
tumor37_ip_peaks_pc_gene_summary.txt	3806	2
tumor38_ip_peaks_pc_gene_summary.txt	4551	2
tumor39_ip_peaks_pc_gene_summary.txt	5002	2
tumor3_ip_peaks_pc_gene_summary.txt	3280	2
tumor40_ip_peaks_pc_gene_summary.txt	3750	2
tumor41_ip_peaks_pc_gene_summary.txt	4554	2
tumor42_ip_peaks_pc_gene_summary.txt	4689	2
tumor43_ip_peaks_pc_gene_summary.txt	3860	2
tumor44_ip_peaks_pc_gene_summary.txt	5459	2
tumor47_ip_peaks_pc_gene_summary.txt	4628	2
tumor48_ip_peaks_pc_gene_summary.txt	4571	2
tumor49_ip_peaks_pc_gene_summary.txt	4664	2
tumor4_ip_peaks_pc_gene_summary.txt	4478	2
