all 	 overlaped
14278 	 10825
14278 	 11525
14278 	 10707
14278 	 11621
14278 	 11451
14278 	 10806
14278 	 11511
14278 	 11470
14278 	 11579
15770 	 11861
15770 	 10817
15770 	 12031
15770 	 11829
15770 	 11487
15770 	 12153
15770 	 11984
15770 	 11998
15806 	 10859
15806 	 12041
15806 	 11893
15806 	 11230
15806 	 12006
15806 	 12046
15806 	 12056
14170 	 11510
14170 	 11256
14170 	 10704
14170 	 11348
14170 	 11292
14170 	 11366
15523 	 11564
15523 	 10953
15523 	 11767
15523 	 11788
15523 	 11690
15414 	 11120
15414 	 11831
15414 	 11772
15414 	 11847
14887 	 11849
14887 	 11573
14887 	 11647
15471 	 11717
15471 	 11799
15626 	 11708
