count	sample	sample_type
14278	normal01	normal
15770	normal02	normal
15806	normal03	normal
14170	normal04	normal
15523	normal05	normal
15414	normal06	normal
14887	normal07	normal
15471	normal08	normal
15626	normal09	normal
15314	normal10	normal
13858	tumor10	tumor
10763	tumor11	tumor
11791	tumor12	tumor
10913	tumor13	tumor
12701	tumor14	tumor
10830	tumor15	tumor
9059	tumor16	tumor
11618	tumor17	tumor
10387	tumor18	tumor
12866	tumor19	tumor
10124	tumor20	tumor
10106	tumor21	tumor
8141	tumor22	tumor
9240	tumor23	tumor
9620	tumor24	tumor
10812	tumor25	tumor
12112	tumor26	tumor
12235	tumor27	tumor
12478	tumor28	tumor
12893	tumor29	tumor
11943	tumor2	tumor
13189	tumor30	tumor
11399	tumor31	tumor
12361	tumor32	tumor
13927	tumor33	tumor
10378	tumor34	tumor
12001	tumor35	tumor
9841	tumor36	tumor
10757	tumor37	tumor
12624	tumor38	tumor
13239	tumor39	tumor
8533	tumor3	tumor
10698	tumor40	tumor
12782	tumor41	tumor
13192	tumor42	tumor
10369	tumor43	tumor
14731	tumor44	tumor
13606	tumor47	tumor
12320	tumor48	tumor
12874	tumor49	tumor
11039	tumor4	tumor
15878	tumor50	tumor
13006	tumor51	tumor
12643	tumor52	tumor
12890	tumor53	tumor
9554	tumor54	tumor
9604	tumor55	tumor
11166	tumor5	tumor
11507	tumor6	tumor
11472	tumor7	tumor
10932	tumor8	tumor
