	col_tip	col_tinput
tumor3	red	red
tumor4	red	red
tumor5	red	red
tumor8	red	red
tumor9	red	red
tumor26	blue	blue
tumor27	blue	blue
tumor28	blue	blue
tumor29	blue	blue
tumor30	blue	blue
tumor31	blue	blue
tumor32	blue	blue
tumor33	blue	darkslategrey
tumor22	darkslategrey	blue
tumor23	darkslategrey	blue
tumor24	darkslategrey	blue
tumor25	darkslategrey	blue
tumor17	darkorange3	darkorange3
tumor18	darkorange3	darkorange3
tumor19	darkorange3	darkorange3
tumor20	darkorange3	darkorange3
tumor21	darkorange3	darkorange3
tumor12	seagreen	seagreen
tumor13	seagreen	seagreen
tumor14	seagreen	seagreen
tumor15	seagreen	seagreen
tumor16	seagreen	seagreen
tumor47	purple	purple
tumor48	purple	purple
tumor49	purple	purple
tumor50	purple	purple
tumor51	purple	purple
tumor52	purple	purple
tumor53	purple	purple
tumor54	purple	purple
tumor55	purple	purple
tumor2	black	black
tumor6	black	black
tumor7	black	black
tumor10	black	black
tumor11	black	black
tumor40	maroon1	darkslategrey
tumor41	maroon1	darkslategrey
tumor42	maroon1	darkslategrey
tumor43	maroon1	maroon1
tumor45	maroon1	maroon1
tumor44	maroon1	maroon1
tumor34	darkslategrey	darkslategrey
tumor35	darkslategrey	darkslategrey
tumor36	darkslategrey	darkslategrey
tumor37	darkslategrey	darkslategrey
tumor38	darkslategrey	darkslategrey
tumor39	darkslategrey	darkslategrey
