all 	 overlaped
13858 	 7857
13858 	 8587
13858 	 8176
13858 	 9115
13858 	 7813
13858 	 6322
13858 	 8330
13858 	 7669
13858 	 8810
13858 	 7185
13858 	 7104
13858 	 5321
13858 	 6146
13858 	 6675
13858 	 7194
13858 	 8759
13858 	 8668
13858 	 8949
13858 	 9042
13858 	 8943
13858 	 8985
13858 	 7730
13858 	 8920
13858 	 10181
13858 	 7327
13858 	 8149
13858 	 6778
13858 	 7587
13858 	 8498
13858 	 9066
13858 	 5849
13858 	 7142
13858 	 9125
13858 	 9042
13858 	 7640
13858 	 10386
13858 	 9298
13858 	 8636
13858 	 8923
13858 	 7146
13858 	 10225
13858 	 9276
13858 	 8672
13858 	 8391
13858 	 6488
13858 	 6500
13858 	 7561
13858 	 8499
13858 	 8146
13858 	 8329
10763 	 7677
10763 	 7251
10763 	 7969
10763 	 6972
10763 	 5858
10763 	 7328
10763 	 6739
10763 	 7965
10763 	 6592
10763 	 6684
10763 	 4903
10763 	 5665
10763 	 6138
10763 	 6448
10763 	 7714
10763 	 7436
10763 	 7931
10763 	 7803
10763 	 7981
10763 	 7840
10763 	 6978
10763 	 7670
10763 	 8652
10763 	 6673
10763 	 7279
10763 	 6332
10763 	 6808
10763 	 7505
10763 	 8000
10763 	 5453
10763 	 6497
10763 	 8108
10763 	 8077
10763 	 6939
10763 	 8623
10763 	 7970
10763 	 7736
10763 	 7735
10763 	 6487
10763 	 8621
10763 	 8000
10763 	 7699
10763 	 7361
10763 	 6020
10763 	 5910
10763 	 6698
10763 	 7528
10763 	 7297
10763 	 7249
11791 	 7546
11791 	 8355
11791 	 7139
11791 	 5853
11791 	 7580
11791 	 6803
11791 	 8199
11791 	 6682
11791 	 6720
11791 	 4865
11791 	 5655
11791 	 6145
11791 	 6609
11791 	 7698
11791 	 7750
11791 	 8194
11791 	 8175
11791 	 8187
11791 	 7921
11791 	 7003
11791 	 7883
11791 	 9066
11791 	 6679
11791 	 7484
11791 	 6291
11791 	 7062
11791 	 7858
11791 	 8239
11791 	 5441
11791 	 6610
11791 	 8351
11791 	 8225
11791 	 6934
11791 	 9172
11791 	 8395
11791 	 7743
11791 	 8304
11791 	 6536
11791 	 9229
11791 	 8536
11791 	 7898
11791 	 7696
11791 	 6078
11791 	 6069
11791 	 6946
11791 	 7887
11791 	 7365
11791 	 7622
10913 	 8027
10913 	 7048
10913 	 5803
10913 	 7208
10913 	 6894
10913 	 7761
10913 	 6626
10913 	 6439
10913 	 4808
10913 	 5550
10913 	 6061
10913 	 6360
10913 	 7784
10913 	 7565
10913 	 8037
10913 	 7816
10913 	 7894
10913 	 7674
10913 	 6868
10913 	 7529
10913 	 8950
10913 	 6659
10913 	 7161
10913 	 6217
10913 	 6859
10913 	 7629
10913 	 7845
10913 	 5423
10913 	 6496
10913 	 8141
10913 	 7860
10913 	 7216
10913 	 8976
10913 	 8011
10913 	 7753
10913 	 7761
10913 	 6601
10913 	 8870
10913 	 8293
10913 	 7681
10913 	 7405
10913 	 5985
10913 	 5884
10913 	 6887
10913 	 7847
10913 	 7047
10913 	 7806
12701 	 7508
12701 	 6298
12701 	 7793
12701 	 7109
12701 	 8631
12701 	 7119
12701 	 6905
12701 	 5014
12701 	 5958
12701 	 6318
12701 	 7031
12701 	 8168
12701 	 8328
12701 	 8557
12701 	 8555
12701 	 8483
12701 	 8280
12701 	 7341
12701 	 8084
12701 	 9717
12701 	 7147
12701 	 7771
12701 	 6552
12701 	 7315
12701 	 8430
12701 	 8778
12701 	 5696
12701 	 7061
12701 	 8664
12701 	 8749
12701 	 7510
12701 	 9739
12701 	 8685
12701 	 8513
12701 	 8634
12701 	 7145
12701 	 9641
12701 	 9189
12701 	 8553
12701 	 8359
12701 	 6414
12701 	 6298
12701 	 7315
12701 	 8119
12701 	 7833
12701 	 7992
10830 	 5230
10830 	 6726
10830 	 6214
10830 	 6993
10830 	 6302
10830 	 5608
10830 	 4334
10830 	 5104
10830 	 5297
10830 	 5853
10830 	 7012
10830 	 7038
10830 	 6940
10830 	 6836
10830 	 6899
10830 	 6802
10830 	 6140
10830 	 6741
10830 	 7986
10830 	 5866
10830 	 6363
10830 	 5481
10830 	 5990
10830 	 7086
10830 	 6998
10830 	 4973
10830 	 6064
10830 	 7303
10830 	 7071
10830 	 6323
10830 	 7842
10830 	 7181
10830 	 7000
10830 	 6945
10830 	 5935
10830 	 7814
10830 	 7820
10830 	 7211
10830 	 6634
10830 	 5390
10830 	 5049
10830 	 5947
10830 	 6833
10830 	 6725
10830 	 6669
9059 	 6634
9059 	 6263
9059 	 7015
9059 	 6145
9059 	 6006
9059 	 4782
9059 	 5357
9059 	 5669
9059 	 6082
9059 	 6783
9059 	 6789
9059 	 6927
9059 	 7073
9059 	 6749
9059 	 6853
9059 	 6355
9059 	 6730
9059 	 7337
9059 	 6301
9059 	 6475
9059 	 5748
9059 	 6324
9059 	 6886
9059 	 7161
9059 	 5053
9059 	 6058
9059 	 6908
9059 	 7003
9059 	 6319
9059 	 7483
9059 	 6950
9059 	 7019
9059 	 6978
9059 	 5952
9059 	 7396
9059 	 7112
9059 	 6885
9059 	 6793
9059 	 5671
9059 	 5500
9059 	 6064
9059 	 6585
9059 	 6440
9059 	 6551
11618 	 7033
11618 	 8048
11618 	 6616
11618 	 6606
11618 	 5099
11618 	 5663
11618 	 6123
