exon_num	whole_gene_len	5UTR_len	3UTR_len	CDS_len	last_CDS_len
C1orf141	8	2153	110	840	1203	600
PKP1	15	5447	251	2952	2244	75
RERE	24	8026	635	2690	4701	34
CSMD2	71	13698	177	2625	10896	160
SLC44A5	24	3896	146	1596	2154	107
TTLL7	21	7976	378	4934	2664	121
GLMN	19	1995	82	128	1785	117
MAN1A2	13	8576	735	5915	1926	133
ANXA9	14	1826	476	312	1038	63
MPZL1	6	5010	202	3998	810	102
RFWD2	20	3033	515	322	2196	18
C1orf21	6	10265	435	9464	366	39
HSD11B1	7	1461	154	428	879	218
SDCCAG8	18	2567	118	307	2142	30
AGRN	39	7394	464	1137	5793	158
PRKCZ	15	2294	683	381	1230	88
PRDM16	17	5447	63	1610	3774	78
ACOT7	9	1403	58	328	1017	99
CAMTA1	23	8444	207	3215	5022	33
PEX14	9	1985	80	771	1134	457
DISP3	21	5215	138	898	4179	363
DHRS3	6	1722	383	430	909	85
KAZN	17	6874	874	3408	2592	165
PLEKHM2	20	4122	227	835	3060	138
ACTL8	3	1861	216	544	1101	753
RP13-279N23.2	27	4369	0	3480	889	106
ALDH4A1	16	2124	30	402	1692	113
PLA2G2E	4	785	58	298	429	143
EIF4G3	35	6196	584	836	4776	182
KDM1A	21	3059	104	324	2631	186
WDTC1	16	4819	535	2250	2034	198
RP1-27O5.3	10	3447	90	1818	1539	44
EPHA10	18	3167	0	122	3045	22
TRIT1	11	2112	15	693	1404	170
ZSWIM5	14	5819	206	2055	3558	863
PIK3R3	11	5019	100	3533	1386	199
PDZK1IP1	5	770	425	0	345	73
SLC5A9	15	2219	52	58	2109	209
AGBL4	14	2947	117	1318	1512	121
EPS15	25	5225	97	2437	2691	147
ZCCHC11	30	5743	145	660	4938	68
PATJ	43	8505	114	2985	5406	28
ROR1	9	5832	375	2643	2814	1428
PDE4B	17	3998	187	1600	2211	366
WLS	12	2037	246	159	1632	122
FPGT-TNNI3K	27	2855	5	0	2850	77
TNNI3K	25	3001	51	442	2508	77
ST6GALNAC3	5	6861	148	5795	918	187
ZZZ3	15	4328	476	1140	2712	145
IFI44L	9	5874	179	4336	1359	35
ADGRL2	26	5293	645	223	4425	755
MCOLN2	14	2871	68	1102	1701	37
COL24A1	60	6825	367	1313	5145	147
HS2ST1	7	6736	363	5302	1071	227
